打率.287,試合75,打席252,打数230,得点27,安打66,内安4,内安率6.1,２Ｂ9,３Ｂ3,本塁7,HR勝敗6-1-0,塁打102,打点35,三振17
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
15,0,1,6,0,0,0,-,1,0,4,.339,.333,.443,.777
