HQS率-,SQS率-,被打率.360,被BABIP.425,被出塁率.475,被長打率.540,K/BB1.13,K/96.75,BB/96.00,HR/90.75,GO/AO0.44,援護率-,IPR0.86,NHB%10.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
4.82,54.3%,-9.54,-1.10,-9.95,46,6.0,0,0,12.0,14,1,5,
