条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右投手,0.302,432,387,117,15,5,4,34,41,1,2,1
対左投手,0.267,205,191,51,7,3,1,23,10,0,2,2
