球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
バンテリンドーム,.278,70,310,277,40,77,9,6,2,104,18,30,27,6,1,3,2,6,1,2,.342,.375,0.717
東京ドーム,.293,10,42,41,2,12,1,0,0,13,0,6,1,0,0,0,0,0,0,0,.310,.317,0.627
甲子園,.465,11,48,43,6,20,1,0,0,21,0,2,5,2,0,0,0,1,1,0,.521,.488,1.009
横浜,.241,12,55,54,5,13,5,1,0,20,1,3,1,0,0,0,0,0,0,0,.255,.370,0.625
マツダスタジアム,.231,13,57,52,7,12,0,0,0,12,1,3,5,0,0,0,0,3,0,0,.298,.231,0.529
神宮,.280,12,57,50,5,14,3,0,1,20,6,4,7,2,0,0,0,1,2,0,.368,.400,0.768
Ce その他,.176,4,19,17,2,3,0,0,0,3,1,7,1,0,0,0,1,0,0,0,.211,.176,0.387
みずほPayPay,.333,3,12,12,0,4,0,0,0,4,0,2,0,0,0,0,0,3,0,0,.333,.333,0.667
エスコンＦ,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
ZOZOマリン,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
楽天モバイル,.250,2,10,8,1,2,0,0,1,5,3,0,2,0,0,0,0,2,0,0,.400,.625,1.025
京セラD大阪,.571,2,9,7,2,4,1,1,1,10,2,0,1,0,0,1,0,0,1,0,.625,1.429,2.054
ベルーナドーム,.417,3,13,12,0,5,2,0,0,7,2,0,1,0,0,0,0,0,0,0,.462,.583,1.045
Pa その他,.400,1,5,5,1,2,0,0,0,2,1,0,0,0,0,0,0,1,0,0,.400,.400,0.8
