NOI475.0,GPA.252,RC82.84,RC275.29,XR79.64,XR275.08,RCAA22.30,XR+18.78,RCWIN2.63,XRWIN2.21,BABIP.314
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.89,0.057,12.49,11.18,0.092,115.60,0.201,0.685,7.73,17.7%,
