チーム,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
巨人,0.297,25,108,101,7,30,3,1,2,41,5,18,6,1,0,1,0,2,0,1,0.336,0.406,0.742
阪神,0.361,25,110,97,15,35,4,3,1,48,7,7,10,2,0,2,1,3,2,0,0.417,0.495,0.912
ＤｅＮＡ,0.219,25,112,105,11,23,5,1,0,30,2,6,7,2,0,0,0,1,0,0,0.268,0.286,0.554
広島,0.186,25,110,102,14,19,2,0,0,21,3,9,7,1,0,0,1,4,1,0,0.236,0.206,0.442
ヤクルト,0.333,25,116,99,17,33,6,1,1,44,10,8,14,2,1,1,1,1,2,0,0.417,0.444,0.862
