左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
41.9% (54),41.9% (54),41.9% (54),18.6% (24),18.6% (24),18.6% (24),39.5% (51),39.5% (51),39.5% (51)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
32.5% (13),0.0% (0),47.7% (41),32.5% (13),0.0% (0),12.8% (11),35.0% (14),100.0% (3),39.5% (34)
