打席数,打数,安打,打率,本塁,三振,四死,犠打,犠飛,出塁率
1打席目,47,11,0.234,0,9,3,2,0,0.28
2打席目,42,14,0.333,0,11,4,4,1,0.383
3打席目,38,12,0.316,3,10,3,2,0,0.366
4打席目,21,3,0.143,0,3,4,0,0,0.28
5打席目以上,3,2,0.667,0,1,0,0,0,0.667
