NOI83.3,GPA.038,RC-0.73,RC27-1.40,XR-0.59,XR27-1.15,RCAA-2.15,XR+-2.03,RCWIN-0.25,XRWIN-0.24,BABIP.000
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.13,0.083,15.00,1.88,0.000,-,0.091,0.091,-,60.0%,
