条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右投手,0.251,214,195,49,8,1,3,31,7,1,11,0
対左投手,0.23,158,152,35,4,1,1,31,3,0,3,0
