打率.242,試合112,打席372,打数347,得点23,安打84,内安10,内安率11.9,２Ｂ12,３Ｂ2,本塁4,HR勝敗3-0-0,塁打112,打点23,三振62
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
10,0,1,14,0,3,2,60.0,4,0,5,.213,.265,.323,.588
