左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
42.0% (118),42.0% (118),42.0% (118),18.1% (51),18.1% (51),18.1% (51),39.9% (112),39.9% (112),39.9% (112)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
42.5% (34),100.0% (4),40.6% (80),21.3% (17),0.0% (0),17.3% (34),36.3% (29),0.0% (0),42.1% (83)
