NOI373.0,GPA.200,RC27.97,RC272.66,XR27.66,XR272.63,RCAA-7.39,XR+-7.88,RCWIN-0.87,XRWIN-0.93,BABIP.285
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.16,0.023,37.20,6.00,0.081,86.75,0.112,0.459,3.43,20.4%,
