HQS率-,SQS率-,被打率.155,被BABIP.200,被出塁率.222,被長打率.241,K/BB3.40,K/98.66,BB/92.55,HR/90.51,GO/AO0.60,援護率-,IPR8.83,NHB%30.8%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.40,95.2%,4.57,0.53,3.97,63,4.0,0,0,17.2,2,4,11,
