球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
東京ドーム,.250,36,117,104,11,26,3,0,5,44,17,21,10,2,0,2,1,0,0,1,.313,.423,0.736
甲子園,.333,7,25,21,1,7,1,0,0,8,3,1,3,0,0,1,0,0,0,0,.417,.381,0.798
横浜,.381,9,28,21,3,8,0,0,1,11,3,4,6,0,0,1,0,0,0,0,.519,.524,1.042
マツダスタジアム,.308,10,28,26,4,8,2,0,2,16,6,4,1,0,0,1,0,0,0,2,.333,.615,0.949
神宮,.233,8,33,30,3,7,0,0,0,7,3,8,2,0,1,0,0,0,0,2,.303,.233,0.536
バンテリンドーム,.323,8,33,31,2,10,1,0,0,11,3,3,1,0,0,1,0,0,1,0,.344,.355,0.699
Ce その他,.750,3,8,8,0,6,2,0,0,8,1,1,0,0,0,0,0,0,0,0,.750,1.000,1.75
みずほPayPay,.400,2,10,10,1,4,0,0,0,4,3,1,0,0,0,0,0,0,0,0,.400,.400,0.8
エスコンＦ,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
ZOZOマリン,.000,1,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,0.0
楽天モバイル,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
京セラD大阪,.182,3,13,11,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,.308,.182,0.49
ベルーナドーム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
