防御率1.62,試合14,先発13,救援1,連投(試)0,連投(日)0,勝利6,敗戦1,HLD0,Ｓ0,ＨＰ0,ＳＰ0,救勝0,救敗0,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.857,78.0,307,1213,15.6,56,1,77,18,2,5,1,0,15,14,0.95,76.9%
