NOI437.2,GPA.230,RC23.57,RC273.58,XR23.78,XR273.61,RCAA-0.19,XR+-0.11,RCWIN-0.02,XRWIN-0.01,BABIP.331
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.40,0.067,10.87,4.31,0.072,55.75,0.184,0.569,3.43,34.0%,
