球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,55,61.8%,146.0,5,10,16,15,56.4%,16.7%,0.167,12,2,0,3,1,0
フォーク,16,18.0%,136.9,2,0,3,8,31.3%,25.0%,0.25,4,1,0,1,0,0
カーブ,9,10.1%,122.6,1,2,1,5,44.4%,50.0%,0.0,1,0,0,1,0,0
カットボール,9,10.1%,136.1,0,2,3,2,55.6%,0.0%,0.5,2,1,0,0,0,0
