NOI509.9,GPA.284,RC38.90,RC275.84,XR39.26,XR275.89,RCAA14.48,XR+14.70,RCWIN1.70,XRWIN1.73,BABIP.214
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.56,0.099,7.79,4.36,0.321,11.20,0.469,0.867,0.00,43.6%,
