球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,473,45.2%,146.6,38,104,72,191,45.2%,21.3%,.258,97,25,11,29,9,0
スライダー,165,15.8%,127.8,20,31,23,59,44.8%,26.7%,.222,36,8,2,4,8,0
カットボール,117,11.2%,136.1,12,21,17,48,42.7%,25.0%,.167,24,4,2,5,2,0
フォーク,90,8.6%,136.2,15,9,16,34,44.4%,31.9%,.148,27,4,2,11,3,0
チェンジアップ,52,5.0%,131.6,8,4,7,24,36.5%,33.3%,.077,13,1,1,4,1,0
カーブ,40,3.8%,117.5,3,4,3,27,25.0%,33.3%,.667,3,2,1,0,2,0
ツーシーム,39,3.7%,143.9,3,5,6,19,35.9%,20.0%,.571,7,4,0,1,4,0
スプリット,30,2.9%,139.6,2,5,3,14,33.3%,18.2%,.286,7,2,1,1,0,0
シュート,15,1.4%,144.0,1,3,3,8,46.7%,25.0%,-,0,0,0,0,1,0
ナックルカーブ,7,0.7%,128.2,3,1,0,3,57.1%,100.0%,.000,2,0,0,2,0,0
シンカー,7,0.7%,132.2,0,0,2,3,28.6%,0.0%,.500,2,1,0,0,0,0
パワーカーブ,3,0.3%,123.3,1,1,0,0,66.7%,50.0%,.000,2,0,0,1,0,0
縦スライダー,2,0.2%,131.5,1,0,0,0,50.0%,50.0%,.000,2,0,0,1,0,0
パーム,2,0.2%,111.5,0,1,0,1,50.0%,-%,-,0,0,0,0,0,0
ワンシーム,2,0.2%,145.5,0,1,0,1,50.0%,-%,-,0,0,0,0,0,0
スラーブ,1,0.1%,128.0,0,0,0,0,0.0%,0.0%,.000,1,0,0,0,0,0
ナックル,1,0.1%,124.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
高速スライダー,1,0.1%,141.0,0,0,0,0,0.0%,0.0%,.000,1,0,0,0,0,0
