連続項目,フラグ (現状値 / 最高値)
得点,2試合 / 3試合
安打,6試合 / 6試合
無安打,0試合 / 7試合
打点,3試合 / 3試合
本塁打,2試合 / 3試合
出塁,7試合 / 12試合
