種別,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
Home,11.05,6,0,6,1,0,0,0,1,1,1,0,7.1,13,1,7,5,2,9,9,2.45,0.394,-,0.81
Visitor,9.64,4,0,4,0,0,0,0,0,0,0,0,4.2,5,0,2,3,1,5,5,1.71,0.294,-,0.93
