HQS率0.0%,SQS率0.0%,被打率.313,被BABIP.409,被出塁率.333,被長打率.469,K/BB9.00,K/910.57,BB/91.17,HR/91.17,GO/AO0.86,援護率4.50,IPR1.33,NHB%0.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.51,41.7%,-4.22,-0.50,-4.47,23,4.0,4,2,4.0,3,0,0,
