アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,6,26.1%,安打,10,90.9%
フライ,7,30.4%,四死球,1,9.1%
空三振,6,26.1%,失策出塁,0,0.0%
見三振,3,13.0%,野選,0,0.0%
犠打,1,4.3%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
