チーム,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
ソフトバンク,.333,2,3,3,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.333,.333,0.667
日本ハム,.286,3,8,7,1,2,1,0,0,3,0,3,0,0,1,0,0,0,0,0,.375,.429,0.804
ロッテ,.333,2,7,6,1,2,1,0,0,3,1,1,0,0,1,0,0,0,0,0,.429,.500,0.929
楽天,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
オリックス,.333,1,3,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.333,.333,0.667
西武,.000,1,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.000,.000,0.0
