NOI353.8,GPA.186,RC12.75,RC272.18,XR13.09,XR272.24,RCAA-7.21,XR+-6.97,RCWIN-0.85,XRWIN-0.82,BABIP.306
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.15,0.048,23.33,3.50,0.052,194.00,0.103,0.426,1.00,33.3%,
