NOI142.9,GPA.075,RC-0.76,RC27-0.64,XR-0.58,XR27-0.49,RCAA-4.09,XR+-3.93,RCWIN-0.48,XRWIN-0.46,BABIP.214
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,-0.000,-,2.50,-0.000,-,0.000,0.120,-,40.0%,
