アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,10,34.5%,安打,7,50.0%
フライ,7,24.1%,四死球,6,42.9%
空三振,10,34.5%,失策出塁,1,7.1%
見三振,2,6.9%,野選,0,0.0%
犠打,0,0.0%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
