NOI374.4,GPA.190,RC2.80,RC272.52,XR2.96,XR272.67,RCAA-1.29,XR+-1.14,RCWIN-0.15,XRWIN-0.13,BABIP.280
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.33,0.113,10.75,3.58,0.027,-,0.135,0.467,-,37.2%,
