防御率2.81,試合57,先発0,救援57,連投(試)0,連投(日)0,勝利2,敗戦3,HLD17,Ｓ0,ＨＰ19,ＳＰ2,救勝2,救敗3,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.400,48.0,190,685,14.3,34,8,43,14,5,2,0,0,15,15,1.00,-
