条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右投手,0.273,383,359,98,16,2,16,82,17,2,4,1
対左投手,0.26,134,127,33,5,2,1,20,3,2,2,0
