左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
27.9% (106),27.9% (106),27.9% (106),22.4% (85),22.4% (85),22.4% (85),49.7% (189),49.7% (189),49.7% (189)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
31.6% (36),0.0% (0),28.1% (70),24.6% (28),11.8% (2),22.1% (55),43.9% (50),88.2% (15),49.8% (124)
