NOI448.0,GPA.245,RC67.44,RC274.92,XR65.78,XR274.80,RCAA18.30,XR+16.39,RCWIN2.16,XRWIN1.93,BABIP.310
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.20,0.034,25.85,5.07,0.165,28.59,0.251,0.708,20.86,26.9%,
