アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,104,29.1%,安打,131,81.9%
フライ,145,40.6%,四死球,24,15.0%
空三振,91,25.5%,失策出塁,5,3.1%
見三振,11,3.1%,野選,0,0.0%
犠打,6,1.7%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
