打席数,打数,安打,打率,本塁,三振,四死,犠打,犠飛,出塁率
1打席目,114,28,0.246,6,25,4,0,0,0.271
2打席目,112,33,0.295,6,14,4,0,1,0.316
3打席目,108,30,0.278,3,26,8,1,0,0.328
4打席目,103,28,0.272,2,25,4,3,0,0.299
5打席目以上,32,8,0.25,0,8,4,2,0,0.333
