月名,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
3・4月,.250,24,75,68,4,17,2,1,2,27,12,17,3,0,0,3,1,4,2,1,.278,.397,0.675
5月,.284,25,104,95,12,27,4,1,5,48,10,20,7,5,1,1,0,5,1,0,.340,.505,0.845
6月,.264,22,91,87,7,23,4,0,2,33,3,14,4,1,0,0,0,6,1,0,.297,.379,0.676
7月,.253,20,82,79,10,20,3,1,2,31,8,15,2,1,1,0,0,4,0,0,.280,.392,0.673
8月,.349,21,87,83,12,29,5,1,4,48,12,19,2,0,1,1,0,7,0,0,.372,.578,0.95
9月,.203,22,78,74,7,15,3,0,2,24,7,17,2,0,1,1,0,1,1,0,.234,.324,0.558
10月,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
11月,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
