打率.270,試合134,打席517,打数486,得点52,安打131,内安11,内安率8.4,２Ｂ21,３Ｂ4,本塁17,HR勝敗7-9-0,塁打211,打点52,三振102
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
20,7,4,6,1,27,5,84.4,1,0,3,.240,.303,.434,.737
