アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,99,31.6%,安打,115,82.1%
フライ,104,33.2%,四死球,21,15.0%
空三振,69,22.0%,失策出塁,4,2.9%
見三振,31,9.9%,野選,0,0.0%
犠打,10,3.2%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
