HQS率25.0%,SQS率25.0%,被打率.273,被BABIP.326,被出塁率.307,被長打率.444,K/BB5.26,K/98.41,BB/91.60,HR/91.26,GO/AO0.95,援護率2.50,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.28,76.5%,-9.16,-1.08,-8.66,361,0.0,115,32,0.0,0,0,0,
