HQS率20.0%,SQS率20.0%,被打率.272,被BABIP.281,被出塁率.294,被長打率.415,K/BB4.31,K/94.24,BB/90.98,HR/91.13,GO/AO0.95,援護率4.54,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.76,78.2%,-2.77,-0.32,-4.81,447,0.0,127,64,0.0,0,0,0,
