チーム,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
ソフトバンク,3.12,3,3,0,0,2,0,0,0,0,0,0,17.1,20,2,7,2,1,6,6,1.27,0.299,1.42,-
ロッテ,2.19,2,2,0,1,1,0,0,0,0,0,0,12.1,10,0,3,1,0,3,3,0.89,0.217,1.38,-
楽天,4.76,5,5,0,3,1,0,0,0,0,0,0,28.1,36,5,15,6,0,15,15,1.48,0.319,6.1,-
オリックス,3.93,3,3,0,1,1,0,0,0,0,0,0,18.1,19,2,11,1,0,8,8,1.09,0.264,3.6,-
西武,2.82,4,4,0,1,1,0,0,0,0,0,0,22.1,21,3,11,1,0,9,7,0.99,0.247,5.25,-
