条件,1回,2回,3回,4回,5回,6回,7回,8回,9回,10回,11回,12回,合計
勝利,4,3,3,5,0,2,2,0,0,0,0,0,19
敗戦,1,2,2,3,1,3,0,0,6,0,0,0,18
勝敗無,0,0,1,7,0,2,0,0,0,0,0,0,10
