条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.285,278,260,74,11,0,14,34,10,1,5,2
対左打者,0.255,208,200,51,6,2,1,22,3,1,4,0
