HQS率0.0%,SQS率0.0%,被打率.269,被BABIP.300,被出塁率.310,被長打率.413,K/BB3.67,K/97.42,BB/92.02,HR/91.35,GO/AO1.00,援護率6.14,IPR99.00,NHB%0.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.82,57.8%,-8.09,-0.94,-8.99,110,0.0,22,15,6.0,0,0,1,
