アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,27,35.5%,安打,28,75.7%
フライ,27,35.5%,四死球,7,18.9%
空三振,19,25.0%,失策出塁,2,5.4%
見三振,3,3.9%,野選,0,0.0%
犠打,0,0.0%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
