球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,247,46.5%,146.6,10,47,56,81,45.7%,8.4%,.263,57,15,3,10,4,0
スライダー,79,14.9%,128.8,10,16,16,32,53.2%,32.3%,.100,10,1,0,5,1,1
チェンジアップ,49,9.2%,131.7,9,5,12,17,53.1%,33.3%,.100,10,1,0,4,0,0
カットボール,35,6.6%,136.0,2,7,5,13,40.0%,13.3%,.111,9,1,0,1,0,1
フォーク,34,6.4%,134.2,5,8,5,8,52.9%,27.8%,.071,14,1,0,6,0,0
カーブ,28,5.3%,118.6,4,5,3,11,42.9%,33.3%,.000,7,0,0,2,1,0
ツーシーム,19,3.6%,139.6,0,3,5,8,42.1%,0.0%,.667,3,2,0,0,0,1
スプリット,17,3.2%,135.6,3,1,4,7,47.1%,33.3%,.000,2,0,0,0,0,0
ナックルカーブ,11,2.1%,127.9,1,3,1,5,45.5%,33.3%,.000,2,0,0,1,0,0
シュート,7,1.3%,137.8,0,0,1,5,14.3%,0.0%,1.000,1,1,0,0,0,1
パワーカーブ,3,0.6%,128.5,0,0,1,1,33.3%,0.0%,.000,1,0,0,0,0,0
シンカー,2,0.4%,137.0,0,0,0,2,0.0%,-%,-,0,0,0,0,0,0
