アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,14,35.9%,安打,8,57.1%
フライ,15,38.5%,四死球,5,35.7%
空三振,8,20.5%,失策出塁,1,7.1%
見三振,1,2.6%,野選,0,0.0%
犠打,1,2.6%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
