条件,打率,打席,打数,安打,2塁,3塁,本塁,打点,三振,四球,死球,犠打,犠飛,出塁率
無し,.103,31,29,3,1,0,0,0,7,2,0,0,0,.161
1塁,.333,8,6,2,0,0,0,0,0,1,1,0,0,.500
2塁,.500,4,2,1,1,0,0,1,0,1,0,1,0,.667
3塁,1.000,1,1,1,0,0,0,1,0,0,0,0,0,1.000
1・2塁,.200,5,5,1,0,0,0,1,1,0,0,0,0,.200
1・3塁,.000,1,1,0,0,0,0,0,1,0,0,0,0,.000
2・3塁,-,0,0,0,0,0,0,0,0,0,0,0,0,-
満塁,.000,3,3,0,0,0,0,0,0,0,0,0,0,.000
得点圏,.250,14,12,3,1,0,0,3,2,1,0,1,0,.308
