球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,112,54.9%,145.7,6,21,27,41,48.2%,12.0%,.182,22,4,0,5,4,1
スライダー,37,18.1%,129.1,2,6,4,16,32.4%,13.3%,.200,10,2,0,1,0,0
ツーシーム,11,5.4%,138.5,1,3,2,2,54.5%,16.7%,.000,4,0,0,1,0,0
フォーク,10,4.9%,133.7,1,1,3,3,50.0%,16.7%,.333,3,1,0,1,0,0
カットボール,10,4.9%,139.3,0,1,3,3,40.0%,0.0%,.000,2,0,0,0,0,0
カーブ,8,3.9%,119.6,1,4,1,2,75.0%,50.0%,-,0,0,0,0,0,0
チェンジアップ,8,3.9%,125.8,3,1,0,1,50.0%,50.0%,.000,4,0,0,1,0,0
ナックルカーブ,3,1.5%,118.3,0,0,0,3,0.0%,-%,-,0,0,0,0,0,0
スプリット,2,1.0%,130.5,0,1,0,0,50.0%,0.0%,1.000,1,1,0,0,0,0
シンカー,1,0.5%,131.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
シュート,1,0.5%,147.0,0,0,0,0,0.0%,0.0%,.000,1,0,0,0,0,0
ワンシーム,1,0.5%,140.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
