NOI320.9,GPA.166,RC1.90,RC271.22,XR2.14,XR271.37,RCAA-3.32,XR+-3.14,RCWIN-0.38,XRWIN-0.36,BABIP.211
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.44,0.080,13.25,5.89,0.043,-,0.106,0.341,0.00,24.5%,
